timestamp,time_s,cycle_num,phase,load_state,cooling_type,trial,cpu_temp_c,ambient_c,delta_t_die_ambient_c,cpu_clock_mhz,throttled,pump_duty_pct,pump_power_w,pi_power_w,q_cpu_w,power_w,cop,pue,predicted_delta_t_c
2026-07-30T13:39:42.404133,0.0,1,cycle1_load,load,fan,20,35.6,20.125,15.475,2400,0,100,0.0,1.742,1.742,1.74,,1.0,15.475
2026-07-30T13:39:44.871004,1.9,1,cycle1_load,load,fan,20,41.1,20.125,20.975,2400,0,100,0.0,4.406,4.406,4.41,,1.0,19.406
2026-07-30T13:39:47.293497,4.36,1,cycle1_load,load,fan,20,46.1,20.125,25.975,2400,0,100,0.0,5.1,5.1,5.1,,1.0,24.267
2026-07-30T13:39:49.700917,6.79,1,cycle1_load,load,fan,20,48.8,20.125,28.675,2400,0,100,0.0,5.312,5.312,5.31,,1.0,27.86
2026-07-30T13:39:52.130349,9.19,1,cycle1_load,load,fan,20,50.5,20.125,30.375,2400,0,100,0.0,4.981,4.981,4.98,,1.0,29.691
2026-07-30T13:39:54.611125,11.62,1,cycle1_load,load,fan,20,52.1,20.187,31.913,2400,0,100,0.0,5.36,5.36,5.36,,1.0,31.699
2026-07-30T13:39:57.040217,14.1,1,cycle1_load,load,fan,20,52.7,20.187,32.513,2400,0,100,0.0,5.156,5.156,5.16,,1.0,32.757
2026-07-30T13:39:59.463932,16.53,1,cycle1_load,load,fan,20,53.2,20.187,33.013,2400,0,100,0.0,5.263,5.263,5.26,,1.0,33.731
2026-07-30T13:40:01.933273,18.96,1,cycle1_load,load,fan,20,54.3,20.187,34.113,2400,0,100,0.0,5.253,5.253,5.25,,1.0,34.448
2026-07-30T13:40:04.412489,21.43,1,cycle1_load,load,fan,20,54.9,20.187,34.713,2400,0,100,0.0,5.283,5.283,5.28,,1.0,35.082
2026-07-30T13:40:06.850843,23.91,1,cycle1_load,load,fan,20,56.0,20.187,35.813,2400,0,100,0.0,5.269,5.269,5.27,,1.0,35.569
2026-07-30T13:40:09.291327,26.34,1,cycle1_load,load,fan,20,56.5,20.187,36.313,2400,0,100,0.0,5.086,5.086,5.09,,1.0,35.636
2026-07-30T13:40:11.738924,28.78,1,cycle1_load,load,fan,20,56.5,20.187,36.313,2400,0,100,0.0,5.156,5.156,5.16,,1.0,35.898
2026-07-30T13:40:14.201691,31.23,1,cycle1_load,load,fan,20,57.6,20.187,37.413,2400,0,100,0.0,5.201,5.201,5.2,,1.0,36.24
2026-07-30T13:40:16.620601,33.7,1,cycle1_load,load,fan,20,56.5,20.187,36.313,2400,0,100,0.0,5.358,5.358,5.36,,1.0,36.844
2026-07-30T13:40:19.059732,36.11,1,cycle1_load,load,fan,20,57.1,20.125,36.975,2400,0,100,0.0,5.248,5.248,5.25,,1.0,37.113
2026-07-30T13:40:21.481987,38.55,1,cycle1_load,load,fan,20,58.2,20.187,38.013,2400,0,100,0.0,5.31,5.31,5.31,,1.0,37.487
2026-07-30T13:40:23.912449,40.98,1,cycle1_load,load,fan,20,59.3,20.187,39.113,2400,0,100,0.0,5.36,5.36,5.36,,1.0,37.902
2026-07-30T13:40:26.365425,43.41,1,cycle1_load,load,fan,20,58.2,20.187,38.013,2400,0,100,0.0,5.253,5.253,5.25,,1.0,38.055
2026-07-30T13:40:28.776020,45.86,1,cycle1_load,load,fan,20,58.7,20.187,38.513,2400,0,100,0.0,5.305,5.305,5.3,,1.0,38.327
2026-07-30T13:40:31.209935,48.27,1,cycle1_load,load,fan,20,59.8,20.125,39.675,2400,0,100,0.0,5.446,5.446,5.45,,1.0,38.834
2026-07-30T13:40:33.087069,50.7,1,cycle1_load,load,fan,20,58.7,20.187,38.513,2400,0,100,0.0,5.332,5.332,5.33,,1.0,39.032
2026-07-30T13:40:35.551027,52.58,1,cycle1_load,load,fan,20,57.6,20.187,37.413,2400,0,100,0.0,4.5,4.5,4.5,,1.0,37.942
2026-07-30T13:40:37.956630,55.04,1,cycle1_load,load,fan,20,58.7,20.187,38.513,2400,0,100,0.0,5.295,5.295,5.29,,1.0,38.492
2026-07-30T13:40:40.367789,57.45,1,cycle1_load,load,fan,20,60.4,20.125,40.275,2400,0,100,0.0,5.534,5.534,5.53,,1.0,39.345
2026-07-30T13:40:42.817044,59.86,1,cycle1_load,load,fan,20,59.8,20.187,39.613,2400,0,100,0.0,5.359,5.359,5.36,,1.0,39.65
2026-07-30T13:40:45.287864,62.31,1,cycle1_load,load,fan,20,59.8,20.187,39.613,2400,0,100,0.0,5.209,5.209,5.21,,1.0,39.636
2026-07-30T13:40:47.729472,64.78,1,cycle1_load,load,fan,20,59.8,20.187,39.613,2400,0,100,0.0,5.265,5.265,5.26,,1.0,39.79
