timestamp,time_s,cycle_num,phase,load_state,cooling_type,trial,cpu_temp_c,ambient_c,delta_t_die_ambient_c,cpu_clock_mhz,throttled,pump_duty_pct,pump_power_w,pi_power_w,q_cpu_w,power_w,cop,pue,predicted_delta_t_c
2026-07-16T00:21:51.477460,0.0,1,cycle1_load,load,geothermal,6,36.95,21.937,15.013,2400,0,90,0.75,2.48,2.48,3.23,3.307,1.302,15.012
2026-07-16T00:21:53.954770,1.87,1,cycle1_load,load,geothermal,6,39.7,21.937,17.763,2400,0,90,0.75,5.417,5.417,6.17,7.223,1.138,14.759
2026-07-16T00:21:56.450482,4.34,1,cycle1_load,load,geothermal,6,40.25,21.875,18.375,2400,0,90,0.75,6.003,6.003,6.75,8.004,1.125,15.326
2026-07-16T00:21:58.916145,6.84,1,cycle1_load,load,geothermal,6,38.6,21.875,16.725,2400,0,90,0.75,6.007,6.007,6.76,8.009,1.125,15.596
2026-07-16T00:22:01.385856,9.31,1,cycle1_load,load,geothermal,6,38.6,21.937,16.663,2400,0,90,0.75,5.98,5.98,6.73,7.973,1.125,15.688
2026-07-16T00:22:03.846369,11.78,1,cycle1_load,load,geothermal,6,38.6,21.937,16.663,2400,0,90,0.75,6.057,6.057,6.81,8.076,1.124,15.829
2026-07-16T00:22:06.381471,14.24,1,cycle1_load,load,geothermal,6,37.5,21.875,15.625,2400,0,90,0.75,5.998,5.998,6.75,7.997,1.125,15.823
2026-07-16T00:22:08.840349,16.77,1,cycle1_load,load,geothermal,6,37.5,21.875,15.625,2400,0,90,0.75,5.903,5.903,6.65,7.871,1.127,15.7
2026-07-16T00:22:11.294812,19.23,1,cycle1_load,load,geothermal,6,38.05,21.937,16.113,2400,0,90,0.75,6.01,6.01,6.76,8.013,1.125,15.781
2026-07-16T00:22:13.770077,21.68,1,cycle1_load,load,geothermal,6,37.5,21.937,15.563,2400,0,90,0.75,6.087,6.087,6.84,8.116,1.123,15.917
2026-07-16T00:22:16.331303,24.16,1,cycle1_load,load,geothermal,6,37.5,21.875,15.625,2400,0,90,0.75,6.055,6.055,6.81,8.073,1.124,15.942
2026-07-16T00:22:18.799045,26.72,1,cycle1_load,load,geothermal,6,37.5,21.875,15.625,2400,0,90,0.75,5.883,5.883,6.63,7.844,1.127,15.734
2026-07-16T00:22:21.258091,29.19,1,cycle1_load,load,geothermal,6,37.5,21.937,15.563,2400,0,90,0.75,5.701,5.701,6.45,7.601,1.132,15.414
2026-07-16T00:22:23.718280,31.65,1,cycle1_load,load,geothermal,6,37.5,21.875,15.625,2400,0,90,0.75,6.176,6.176,6.93,8.235,1.121,15.863
2026-07-16T00:22:26.242978,34.11,1,cycle1_load,load,geothermal,6,36.4,21.937,14.463,2400,0,90,0.75,5.924,5.924,6.67,7.899,1.127,15.757
2026-07-16T00:22:28.703240,36.63,1,cycle1_load,load,geothermal,6,37.5,21.875,15.625,2400,0,90,0.75,5.59,5.59,6.34,7.453,1.134,15.281
2026-07-16T00:22:31.200749,39.09,1,cycle1_load,load,geothermal,6,36.95,21.875,15.075,2400,0,90,0.75,5.817,5.817,6.57,7.756,1.129,15.352
2026-07-16T00:22:33.686159,41.59,1,cycle1_load,load,geothermal,6,37.5,21.937,15.563,2400,0,90,0.75,6.253,6.253,7.0,8.337,1.12,15.941
2026-07-16T00:22:36.236658,44.08,1,cycle1_load,load,geothermal,6,36.95,21.875,15.075,2400,0,90,0.75,6.142,6.142,6.89,8.189,1.122,16.071
2026-07-16T00:22:38.718280,46.63,1,cycle1_load,load,geothermal,6,37.5,21.937,15.563,2400,0,90,0.75,6.197,6.197,6.95,8.263,1.121,16.206
