timestamp,time_s,phase,load_state,cooling_type,trial,cpu_temp_c,ambient_c,delta_t_die_ambient_c,cpu_clock_mhz,throttled,pump_duty_pct,pump_power_w,pi_power_w,q_cpu_w,power_w,cop,pue,stabilization_slope_c_per_min
2026-07-15T22:16:09.575811,0.0,idle_pre,idle,geothermal,6,38.6,21.5,17.1,2400,0,100,0.75,2.711,2.711,3.46,3.615,1.277,
2026-07-15T22:16:11.395803,1.85,idle_pre,idle,geothermal,6,34.2,21.5,12.7,2400,0,100,0.75,2.487,2.487,3.24,3.316,1.302,
2026-07-15T22:16:13.215748,3.67,idle_pre,idle,geothermal,6,32.55,21.5,11.05,2400,0,100,0.75,2.414,2.414,3.16,3.219,1.311,
2026-07-15T22:16:15.039752,5.49,idle_pre,idle,geothermal,6,31.45,21.5,9.95,2400,0,100,0.75,2.568,2.568,3.32,3.424,1.292,
2026-07-15T22:16:16.832024,7.31,idle_pre,idle,geothermal,6,30.35,21.562,8.788,2400,0,100,0.75,2.556,2.556,3.31,3.408,1.293,-63.3117
2026-07-15T22:16:18.656031,9.11,idle_pre,idle,geothermal,6,30.35,21.5,8.85,2400,0,100,0.75,2.555,2.555,3.3,3.407,1.294,-50.8054
2026-07-15T22:16:20.483971,10.93,idle_pre,idle,geothermal,6,30.35,21.5,8.85,2400,0,100,0.75,2.624,2.624,3.37,3.499,1.286,-40.8728
2026-07-15T22:16:22.308005,12.75,idle_pre,idle,geothermal,6,30.35,21.562,8.788,2400,0,100,0.75,2.634,2.634,3.38,3.512,1.285,-33.2967
2026-07-15T22:16:24.131971,14.58,idle_pre,idle,geothermal,6,29.8,21.5,8.3,2400,0,100,0.75,2.386,2.386,3.14,3.181,1.314,-28.7382
2026-07-15T22:16:25.951986,16.4,idle_pre,idle,geothermal,6,29.8,21.5,8.3,2400,0,100,0.75,2.398,2.398,3.15,3.197,1.313,-24.8513
2026-07-15T22:16:27.747977,18.22,idle_pre,idle,geothermal,6,29.8,21.562,8.238,2400,0,100,0.75,2.624,2.624,3.37,3.499,1.286,-21.6026
2026-07-15T22:16:29.567970,20.02,idle_pre,idle,geothermal,6,29.8,21.5,8.3,2400,0,100,0.75,2.484,2.484,3.23,3.312,1.302,-18.9123
2026-07-15T22:16:31.359980,21.84,idle_pre,idle,geothermal,6,28.7,21.5,7.2,2400,0,100,0.75,2.641,2.641,3.39,3.521,1.284,-17.8552
2026-07-15T22:16:33.151972,23.63,idle_pre,idle,geothermal,6,29.8,21.5,8.3,2400,0,100,0.75,2.538,2.538,3.29,3.384,1.296,-15.6544
2026-07-15T22:16:34.980029,25.43,idle_pre,idle,geothermal,6,29.25,21.562,7.688,2400,0,100,0.75,2.501,2.501,3.25,3.335,1.3,-14.289
2026-07-15T22:16:36.807977,27.25,idle_pre,idle,geothermal,6,28.7,21.562,7.138,2400,0,100,0.75,2.412,2.412,3.16,3.216,1.311,-13.4568
2026-07-15T22:16:38.631976,29.08,idle_pre,idle,geothermal,6,28.7,21.5,7.2,2400,0,100,0.75,2.467,2.467,3.22,3.289,1.304,-12.6191
2026-07-15T22:16:40.452000,30.9,idle_pre,idle,geothermal,6,28.7,21.562,7.138,2400,0,100,0.75,2.599,2.599,3.35,3.465,1.289,-11.8084
2026-07-15T22:16:42.275981,32.72,idle_pre,idle,geothermal,6,28.15,21.5,6.65,2400,0,100,0.75,2.486,2.486,3.24,3.315,1.302,-11.328
2026-07-15T22:16:44.103974,34.55,idle_pre,idle,geothermal,6,28.15,21.562,6.588,2400,0,100,0.75,2.591,2.591,3.34,3.455,1.289,-10.8154
2026-07-15T22:16:45.919984,36.38,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.643,2.643,3.39,3.524,1.284,-10.5302
2026-07-15T22:16:47.711959,38.19,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.381,2.381,3.13,3.175,1.315,-10.1916
2026-07-15T22:16:49.504054,39.98,idle_pre,idle,geothermal,6,28.15,21.562,6.588,2400,0,100,0.75,2.388,2.388,3.14,3.184,1.314,-9.6276
2026-07-15T22:16:51.331951,41.77,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.653,2.653,3.4,3.537,1.283,-9.2802
2026-07-15T22:16:53.124006,43.6,idle_pre,idle,geothermal,6,28.15,21.5,6.65,2400,0,100,0.75,2.638,2.638,3.39,3.517,1.284,-8.7556
2026-07-15T22:16:54.943970,45.39,idle_pre,idle,geothermal,6,28.7,21.5,7.2,2400,0,100,0.75,2.417,2.417,3.17,3.223,1.31,-8.1144
2026-07-15T22:16:56.767976,47.22,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.375,2.375,3.13,3.167,1.316,-7.8286
2026-07-15T22:16:58.564042,49.04,idle_pre,idle,geothermal,6,28.15,21.5,6.65,2400,0,100,0.75,2.366,2.366,3.12,3.155,1.317,-7.4075
2026-07-15T22:17:00.387979,50.83,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.452,2.452,3.2,3.269,1.306,-7.1426
2026-07-15T22:17:02.207968,52.66,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.38,2.38,3.13,3.173,1.315,-6.8806
2026-07-15T22:17:03.999962,54.48,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.356,2.356,3.11,3.141,1.318,-6.6245
2026-07-15T22:17:05.831987,56.27,idle_pre,idle,geothermal,6,25.95,21.5,4.45,2400,0,100,0.75,2.372,2.372,3.12,3.163,1.316,-6.6862
2026-07-15T22:17:07.655977,58.11,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.356,2.356,3.11,3.141,1.318,-6.4095
2026-07-15T22:17:09.472000,59.93,idle_pre,idle,geothermal,6,27.05,21.5,5.55,2400,0,100,0.75,2.363,2.363,3.11,3.151,1.317,-6.238
2026-07-15T22:17:11.295999,61.74,idle_pre,idle,geothermal,6,28.15,21.562,6.588,2400,0,100,0.75,2.405,2.405,3.16,3.207,1.312,-5.8914
2026-07-15T22:17:13.087974,63.57,idle_pre,idle,geothermal,6,27.05,21.5,5.55,2400,0,100,0.75,2.411,2.411,3.16,3.215,1.311,-5.7365
2026-07-15T22:17:14.912002,65.36,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.632,2.632,3.38,3.509,1.285,-5.5037
2026-07-15T22:17:16.707988,67.18,idle_pre,idle,geothermal,6,26.5,21.562,4.938,2400,0,100,0.75,2.345,2.345,3.1,3.127,1.32,-5.4307
2026-07-15T22:17:18.496026,68.98,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.362,2.362,3.11,3.149,1.318,-5.2078
2026-07-15T22:17:20.324044,70.77,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.384,2.384,3.13,3.179,1.315,-4.9981
2026-07-15T22:17:22.111983,72.59,idle_pre,idle,geothermal,6,27.05,21.562,5.488,2400,0,100,0.75,2.517,2.517,3.27,3.356,1.298,-4.8632
2026-07-15T22:17:23.935988,74.39,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.456,2.456,3.21,3.275,1.305,-4.6705
2026-07-15T22:17:25.767994,76.21,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.402,2.402,3.15,3.203,1.312,-4.4885
2026-07-15T22:17:27.587994,78.04,idle_pre,idle,geothermal,6,25.95,21.5,4.45,2400,0,100,0.75,2.359,2.359,3.11,3.145,1.318,-4.4817
2026-07-15T22:17:29.407996,79.86,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.337,2.337,3.09,3.116,1.321,-4.3046
2026-07-15T22:17:31.199966,81.68,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.372,2.372,3.12,3.163,1.316,-4.1375
2026-07-15T22:17:32.996057,83.47,idle_pre,idle,geothermal,6,27.6,21.5,6.1,2400,0,100,0.75,2.405,2.405,3.15,3.207,1.312,-3.9801
2026-07-15T22:17:34.815996,85.27,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.365,2.365,3.11,3.153,1.317,-3.8316
2026-07-15T22:17:36.612006,87.09,idle_pre,idle,geothermal,6,27.05,21.5,5.55,2400,0,100,0.75,2.374,2.374,3.12,3.165,1.316,-3.7356
2026-07-15T22:17:38.435977,88.88,idle_pre,idle,geothermal,6,28.15,21.5,6.65,2400,0,100,0.75,2.345,2.345,3.1,3.127,1.32,-3.5564
2026-07-15T22:17:40.259990,90.71,idle_pre,idle,geothermal,6,26.5,21.5,5.0,2400,0,100,0.75,2.589,2.589,3.34,3.452,1.29,-3.5128
2026-07-15T22:17:42.087996,92.53,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.475,2.475,3.23,3.3,1.303,-3.3871
2026-07-15T22:17:43.904000,94.36,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.387,2.387,3.14,3.183,1.314,-3.2679
2026-07-15T22:17:45.731993,96.18,idle_pre,idle,geothermal,6,27.6,21.562,6.038,2400,0,100,0.75,2.396,2.396,3.15,3.195,1.313,-3.1548
2026-07-15T22:17:47.528017,98.0,idle_pre,idle,geothermal,6,26.5,21.562,4.938,2400,0,100,0.75,2.359,2.359,3.11,3.145,1.318,-3.1183
